permno,ticker,comnam,date,ret,prc,vol,shrout,cfacpr,sector,market_cap,year,month,year_month,vol_6m,mean_ret_6m,sharpe_6m,vol_12m,mean_ret_12m,sharpe_12m,var_95_6m,var_99_6m,cum_ret,running_max,drawdown,drawdown_pct,max_dd_12m,is_peak,peak_id,months_since_peak,drawdown_duration,risk_class,high_risk_alert
47896,JPM,JPMORGAN CHASE & CO,2022-05-31,0.107825,132.23,3136305.0,2937050.0,1.0,Financials,388366.1214999999,2022,5,2022-05,0.25985806364552155,-0.303876,-1.2463573208249823,0.21510639493727074,-0.16720200000000002,-0.8702763116577348,10.162275,11.398695,1.4010299826905528,1.7731644742542416,-0.20987026131357686,-20.987026131357688,-28.67738688994894,False,14,7,7,Medium,False
47896,JPM,JPMORGAN CHASE & CO,2022-06-30,-0.148378,112.61,2682443.0,2937050.0,1.0,Financials,330741.2005,2022,6,2022-06,0.3069582101276979,-0.594588,-2.002187853989391,0.2519907363035756,-0.262609,-1.1215055130421077,14.0553,14.6813,1.193147955918894,1.7731644742542416,-0.32710813168039093,-32.710813168039095,-32.710813168039095,False,14,8,8,High,True
47896,JPM,J P MORGAN CHASE & CO,2022-07-29,0.033301,115.36,2395667.0,2937050.0,1.0,Financials,338818.088,2022,7,2022-07,0.3278445271551745,-0.41747199999999995,-1.33438860119491,0.2580026321528875,-0.21092,-0.8950296284696861,14.0553,14.6813,1.2328809759989492,1.7731644742542416,-0.30470015957347957,-30.470015957347957,-32.710813168039095,False,14,9,9,High,True
47896,JPM,J P MORGAN CHASE & CO,2022-08-31,-0.01413,113.73,2584371.0,2932572.0,1.0,Financials,333521.41356,2022,8,2022-08,0.328355504430183,-0.354212,-1.139655023141442,0.24616322882554617,-0.278878,-1.214145595286339,14.0553,14.6813,1.215460367808084,1.7731644742542416,-0.31452474631870636,-31.452474631870636,-32.710813168039095,False,14,10,10,High,True
47896,JPM,JPMORGAN CHASE & CO,2022-09-30,-0.081157,104.5,2485607.0,2932572.0,1.0,Financials,306453.774,2022,9,2022-09,0.33659228973284566,-0.439234,-1.3643628033324693,0.24676100310348145,-0.383417,-1.6348490844431502,14.0553,14.6813,1.1168172507378833,1.7731644742542416,-0.3701558614817191,-37.015586148171906,-37.015586148171906,False,14,11,11,High,True
47896,JPM,JPMORGAN CHASE & CO,2022-10-31,0.214163,125.88,3182347.0,2932572.0,1.0,Financials,369152.16336,2022,10,2022-10,0.452530143964797,0.22324799999999995,0.4491369308998141,0.343578823289636,-0.21324000000000004,-0.6788544118255488,13.157275000000002,14.501695,1.3559981836076607,1.7731644742542416,-0.23526655124422846,-23.526655124422845,-37.015586148171906,False,14,12,12,High,True
47896,JPM,JPMORGAN CHASE & CO,2022-11-30,0.097712,138.17999,2266346.0,2933205.0,1.0,Financials,405310.23756795,2022,11,2022-11,0.4479476255818306,0.20302199999999992,0.4085790158219416,0.35740896337783445,-0.05042700000000003,-0.19704877945533844,13.157275000000002,14.501695,1.4884954781243325,1.7731644742542416,-0.16054291649940447,-16.054291649940446,-37.015586148171906,False,14,13,13,High,True
47896,JPM,JPMORGAN CHASE & CO,2022-12-30,-0.029527,134.10001,2020517.0,2933205.0,1.0,Financials,393342.8198320499,2022,12,2022-12,0.36689106683483025,0.44072399999999995,1.1467272932796824,0.3582951706948794,-0.07693200000000003,-0.2705367192418744,6.82495,7.857550000000001,1.4445446721417554,1.7731644742542416,-0.1853295658039265,-18.53295658039265,-37.015586148171906,False,14,14,14,High,True
47896,JPM,JPMORGAN CHASE & CO,2023-01-31,0.051156,139.96001,2099652.0,2933205.0,1.0,Financials,410531.40113205,2023,1,2023-01,0.36735954468231785,0.4764339999999999,1.2424721410048325,0.3582713965548515,0.029480999999999966,0.026463178727549965,6.82495,7.857550000000001,1.518441799389839,1.7731644742542416,-0.14365428507219224,-14.365428507219224,-37.015586148171906,False,14,15,15,High,True
47896,JPM,J P MORGAN CHASE & CO,2023-02-28,0.024221,143.35001,1695656.0,2943355.0,1.0,Financials,421929.96868355,2023,2,2023-02,0.3577496710181574,0.5531359999999999,1.4902487498666093,0.35481505045099976,0.09946199999999997,0.22395329594671107,6.82495,7.857550000000001,1.5552199782128602,1.7731644742542416,-0.12291273551092582,-12.291273551092582,-37.015586148171906,False,14,16,16,High,True
47896,JPM,JPMORGAN CHASE & CO,2023-03-31,-0.090966,130.31,4585030.0,2943355.0,1.0,Financials,383548.59005,2023,3,2023-03,0.36629042541076595,0.5335179999999999,1.4019421867883382,0.36604481092446495,0.04714199999999996,0.07414939152245172,7.560625,8.789405,1.4137478376747492,1.7731644742542416,-0.20269785561243892,-20.269785561243893,-37.015586148171906,False,14,17,17,High,True
47896,JPM,JPMORGAN CHASE & CO,2023-04-28,0.068529,138.24001,2428653.0,2943355.0,1.0,Financials,406889.4246335501,2023,4,2023-04,0.2407433383975554,0.24224999999999997,0.9231823463085148,0.3455949678583298,0.23274899999999998,0.6156021348297307,7.560625,8.789405,1.5106305632427621,1.7731644742542416,-0.14805953695970372,-14.805953695970372,-37.015586148171906,False,14,18,18,Medium,False
47896,JPM,J P MORGAN CHASE & CO,2023-05-31,-0.018302,135.71001,2353121.0,2922289.0,1.0,Financials,396583.86941289,2023,5,2023-05,0.2042180210667018,0.010221999999999981,-0.04788020150683139,0.3331807231360401,0.10662199999999997,0.2599850290997525,7.560625,8.789405,1.482983002674293,1.7731644742542416,-0.1636517513142673,-16.365175131426728,-37.015586148171906,False,14,19,19,Medium,False
47896,JPM,JPMORGAN CHASE & CO,2023-06-30,0.071697,145.44,2077501.0,2922289.0,1.0,Financials,425017.71216,2023,6,2023-06,0.2178009980665834,0.21266999999999997,0.8846148626972743,0.28970734530164627,0.326697,1.0586441972351923,7.28,8.73328,1.5893084350170317,1.7731644742542416,-0.10368809092824635,-10.368809092824636,-37.015586148171906,False,14,20,20,Medium,False
