permno,ticker,comnam,date,ret,prc,vol,shrout,cfacpr,sector,market_cap,year,month,year_month
10107,MSFT,MICROSOFT CORP,2021-12-31,0.017333,336.32001,6250773.0,7507980.0,1.0,Technology,2525083.9086798,2021,12,2021-12
10107,MSFT,MICROSOFT CORP,2022-01-31,-0.075345,310.98001,9460285.0,7496866.0,1.0,Technology,2331375.46364866,2022,1,2022-01
10107,MSFT,MICROSOFT CORP,2022-02-28,-0.037205,298.79001,6905975.0,7496866.0,1.0,Technology,2239988.6671086596,2022,2,2022-02
10107,MSFT,MICROSOFT CORP,2022-03-31,0.031862,308.31,7351466.0,7483000.0,1.0,Technology,2307083.73,2022,3,2022-03
10107,MSFT,MICROSOFT CORP,2022-04-29,-0.099867,277.51999,6263718.0,7479033.0,1.0,Technology,2075581.16336967,2022,4,2022-04
10107,MSFT,MICROSOFT CORP,2022-05-31,-0.018125,271.87,7420645.0,7479033.0,1.0,Technology,2033324.70171,2022,5,2022-05
10107,MSFT,MICROSOFT CORP,2022-06-30,-0.055321,256.82999,6210638.0,7464000.0,1.0,Technology,1916979.04536,2022,6,2022-06
10107,MSFT,MICROSOFT CORP,2022-07-29,0.093097,280.73999,5341745.0,7457892.0,1.0,Technology,2093728.5255010799,2022,7,2022-07
10107,MSFT,MICROSOFT CORP,2022-08-31,-0.066432,261.47,4766826.0,7457892.0,1.0,Technology,1950015.0212400001,2022,8,2022-08
10107,MSFT,MICROSOFT CORP,2022-09-30,-0.109267,232.89999,5746488.0,7457000.0,1.0,Technology,1736735.22543,2022,9,2022-09
10107,MSFT,MICROSOFT CORP,2022-10-31,-0.003306,232.13,6703940.0,7454473.0,1.0,Technology,1730406.81749,2022,10,2022-10
10107,MSFT,MICROSOFT CORP,2022-11-30,0.102055,255.14,6145296.0,7454473.0,1.0,Technology,1901934.2412199997,2022,11,2022-11
10107,MSFT,MICROSOFT CORP,2022-12-30,-0.060045,239.82001,5991818.0,7447000.0,1.0,Technology,1785939.61447,2022,12,2022-12
10107,MSFT,MICROSOFT CORP,2023-01-31,0.033317,247.81,6653042.0,7443804.0,1.0,Technology,1844649.06924,2023,1,2023-01
10107,MSFT,MICROSOFT CORP,2023-02-28,0.009241,249.42,6148469.0,7443804.0,1.0,Technology,1856633.59368,2023,2,2023-02
10107,MSFT,MICROSOFT CORP,2023-03-31,0.155882,288.29999,7469274.0,7437000.0,1.0,Technology,2144087.02563,2023,3,2023-03
10107,MSFT,MICROSOFT CORP,2023-04-28,0.065765,307.26001,5506599.0,7435488.0,1.0,Technology,2284628.11723488,2023,4,2023-04
10107,MSFT,MICROSOFT CORP,2023-05-31,0.070982,328.39001,5992060.0,7435488.0,1.0,Technology,2441739.97867488,2023,5,2023-05
10107,MSFT,MICROSOFT CORP,2023-06-30,0.036999,340.54001,5470225.0,7432000.0,1.0,Technology,2530893.3543200004,2023,6,2023-06
10107,MSFT,MICROSOFT CORP,2023-07-31,-0.013567,335.92001,6658592.0,7429764.0,1.0,Technology,2495806.39717764,2023,7,2023-07
10107,MSFT,MICROSOFT CORP,2023-08-31,-0.022267,327.76001,4792283.0,7429764.0,1.0,Technology,2435179.52293764,2023,8,2023-08
10107,MSFT,MICROSOFT CORP,2023-09-29,-0.036643,315.75,4163480.0,7429031.0,1.0,Technology,2345716.53825,2023,9,2023-09
10107,MSFT,MICROSOFT CORP,2023-10-31,0.070816,338.10999,5399432.0,7432262.0,1.0,Technology,2512922.0304973796,2023,10,2023-10
10107,MSFT,MICROSOFT CORP,2023-11-30,0.122889,378.91,5602438.0,7432262.0,1.0,Technology,2816158.3944200003,2023,11,2023-11
10107,MSFT,MICROSOFT CORP,2023-12-29,-0.007574,376.04001,5185553.0,7432262.0,1.0,Technology,2794827.87680262,2023,12,2023-12
10107,MSFT,MICROSOFT CORP,2024-01-31,0.057281,397.57999,5256086.0,7430436.0,1.0,Technology,2954192.67057564,2024,1,2024-01
10107,MSFT,MICROSOFT CORP,2024-02-29,0.042281,413.64001,4421269.0,7430436.0,1.0,Technology,3073525.6213443605,2024,2,2024-02
10107,MSFT,MICROSOFT CORP,2024-03-28,0.017116,420.72,4236784.0,7432306.0,1.0,Technology,3126919.7803200004,2024,3,2024-03
10107,MSFT,MICROSOFT CORP,2024-04-30,-0.07461,389.32999,4360892.0,7432306.0,1.0,Technology,2893619.62065694,2024,4,2024-04
10107,MSFT,MICROSOFT CORP,2024-05-31,0.068194,415.13,4095924.0,7432306.0,1.0,Technology,3085373.1897799997,2024,5,2024-05
10107,MSFT,MICROSOFT CORP,2024-06-28,0.076651,446.95001,3398071.0,7434000.0,1.0,Technology,3322626.37434,2024,6,2024-06
10107,MSFT,MICROSOFT CORP,2024-07-31,-0.063989,418.35001,4361683.0,7433038.0,1.0,Technology,3109611.5216303803,2024,7,2024-07
10107,MSFT,MICROSOFT CORP,2024-08-30,-0.0011,417.14001,4489646.0,7433038.0,1.0,Technology,3100617.54565038,2024,8,2024-08
10107,MSFT,MICROSOFT CORP,2024-09-30,0.031548,430.29999,3750494.0,7434436.0,1.0,Technology,3199037.73645564,2024,9,2024-09
10107,MSFT,MICROSOFT CORP,2024-10-31,-0.055659,406.35001,4371028.0,7434881.0,1.0,Technology,3021163.9686988103,2024,10,2024-10
10107,MSFT,MICROSOFT CORP,2024-11-29,0.044149,423.45999,4403598.0,7434881.0,1.0,Technology,3148374.63391119,2024,11,2024-11
10107,MSFT,MICROSOFT CORP,2024-12-31,-0.004629,421.5,4365487.0,7434881.0,1.0,Technology,3133802.3415,2024,12,2024-12
86580,NVDA,NVIDIA CORP,2018-01-31,0.270284,245.8,2864272.0,606215.0,40.0,Technology,149007.647,2018,1,2018-01
86580,NVDA,NVIDIA CORP,2018-02-28,-0.01485,242.0,3720215.0,605000.0,40.0,Technology,146410.0,2018,2,2018-02
86580,NVDA,NVIDIA CORP,2018-03-29,-0.043017,231.59,3547079.0,605000.0,40.0,Technology,140111.95,2018,3,2018-03
86580,NVDA,NVIDIA CORP,2018-04-30,-0.028887,224.89999,2786544.0,607000.0,40.0,Technology,136514.29393,2018,4,2018-04
86580,NVDA,NVIDIA CORP,2018-05-31,0.12201,252.19,2998722.0,607000.0,40.0,Technology,153079.33,2018,5,2018-05
86580,NVDA,NVIDIA CORP,2018-06-29,-0.060629,236.89999,2196523.0,607000.0,40.0,Technology,143798.29393,2018,6,2018-06
86580,NVDA,NVIDIA CORP,2018-07-31,0.033601,244.86,1577629.0,608000.0,40.0,Technology,148874.88,2018,7,2018-07
86580,NVDA,NVIDIA CORP,2018-08-31,0.1469,280.67999,2730018.0,608000.0,40.0,Technology,170653.43391999998,2018,8,2018-08
86580,NVDA,NVIDIA CORP,2018-09-28,0.001211,281.01999,1584933.0,608000.0,40.0,Technology,170860.15392,2018,9,2018-09
86580,NVDA,NVIDIA CORP,2018-10-31,-0.249769,210.83,3245023.0,610000.0,40.0,Technology,128606.30000000002,2018,10,2018-10
86580,NVDA,NVIDIA CORP,2018-11-30,-0.224067,163.42999,4049666.0,610000.0,40.0,Technology,99692.2939,2018,11,2018-11
86580,NVDA,NVIDIA CORP,2018-12-31,-0.183136,133.5,3112856.0,610000.0,40.0,Technology,81435.0,2018,12,2018-12
86580,NVDA,NVIDIA CORP,2019-01-31,0.076779,143.75,4217646.0,610000.0,40.0,Technology,87687.5,2019,1,2019-01
86580,NVDA,NVIDIA CORP,2019-02-28,0.074226,154.25999,2860765.0,606000.0,40.0,Technology,93481.55394,2019,2,2019-02
86580,NVDA,NVIDIA CORP,2019-03-29,0.164009,179.56,3017167.0,606000.0,40.0,Technology,108813.36,2019,3,2019-03
86580,NVDA,NVIDIA CORP,2019-04-30,0.00802,181.0,2363511.0,609000.0,40.0,Technology,110229.0,2019,4,2019-04
86580,NVDA,NVIDIA CORP,2019-05-31,-0.250718,135.46001,2794895.0,609000.0,40.0,Technology,82495.14609000001,2019,5,2019-05
86580,NVDA,NVIDIA CORP,2019-06-28,0.212387,164.23,2056951.0,609000.0,40.0,Technology,100016.07,2019,6,2019-06
86580,NVDA,NVIDIA CORP,2019-07-31,0.02734,168.72,2104278.0,609000.0,40.0,Technology,102750.48,2019,7,2019-07
86580,NVDA,NVIDIA CORP,2019-08-30,-0.006223,167.50999,2392428.0,609000.0,40.0,Technology,102013.58391,2019,8,2019-08
86580,NVDA,NVIDIA CORP,2019-09-30,0.039162,174.07001,1601226.0,609000.0,40.0,Technology,106008.63609,2019,9,2019-09
86580,NVDA,NVIDIA CORP,2019-10-31,0.154823,201.02,1951366.0,612000.0,40.0,Technology,123024.24,2019,10,2019-10
